 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                mo118         mo119         mo120         mo121         mo122         mo123         mo124         mo125
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.001446E-30  1.000000E-30  1.001844E-30  1.000838E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  6.264265632874E-16  1.000000E-30  1.009035E-30  1.000000E-30  1.011563E-30  1.005215E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  2.206990590178E-15  1.000000E-30  1.031566E-30  1.000000E-30  1.040856E-30  1.017986E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  6.425069294186E-15  1.000000E-30  1.089873E-30  1.000000E-30  1.119680E-30  1.049510E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.724777641531E-14  1.000000E-30  1.228038E-30  1.000000E-30  1.323693E-30  1.115688E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  4.527785414179E-14  1.000000E-30  1.519989E-30  1.000000E-30  1.833443E-30  1.219049E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.231582592127E-13  1.000000E-30  2.000476E-30  1.000000E-30  2.895456E-30  1.299066E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  4.001734798240E-13  1.297860E-30  2.970374E-30  1.337058E-30  3.979378E-30  1.310372E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.150918682670E-12  1.493553E-30  3.305242E-30  1.390969E-30  4.090373E-30  1.310092E-30  1.000000E-30  1.000146E-30  1.000000E-30
     11  2.802808442389E-12  1.494756E-30  3.312476E-30  1.394306E-30  4.112192E-30  1.317571E-30  1.005992E-30  1.000000E-30  1.000000E-30
     12  6.912921996243E-12  1.383635E-30  3.081059E-30  1.326459E-30  3.868535E-30  1.231647E-30  1.000000E-30  1.000000E-30  1.000245E-30
     13  1.659368270033E-11  1.095216E-30  2.177064E-30  1.000000E-30  2.345831E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
