 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                pd108         pd109         pd110         pd111         pd112         pd113         pd114         pd115
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.003654E-30  1.000000E-30  1.000000E-30  1.002309E-30  1.000000E-30  1.003364E-30
      3  6.264265632874E-16  1.000000E-30  1.000000E-30  1.022270E-30  1.000000E-30  1.000000E-30  1.014299E-30  1.000000E-30  1.020871E-30
      4  2.206990590178E-15  1.000000E-30  1.000000E-30  1.072343E-30  1.000000E-30  1.000000E-30  1.048679E-30  1.000000E-30  1.071457E-30
      5  6.425069294186E-15  1.000000E-30  1.012980E-30  1.171536E-30  1.000000E-30  1.000000E-30  1.129536E-30  1.000000E-30  1.193003E-30
      6  1.724777641531E-14  1.000000E-30  1.161437E-30  1.294795E-30  1.000000E-30  1.000000E-30  1.279224E-30  1.000000E-30  1.431332E-30
      7  4.527785414179E-14  2.114010E-30  1.929983E-30  1.420548E-30  1.000001E-30  1.000001E-30  1.449794E-30  1.000000E-30  1.747080E-30
      8  1.231582592127E-13  7.556203E-30  5.278740E-30  1.852550E-30  1.000000E-30  1.010871E-30  1.609866E-30  1.079672E-30  1.916168E-30
      9  4.001734798240E-13  2.323503E-29  1.511030E-29  3.128560E-30  1.005016E-30  1.125045E-30  1.684482E-30  1.096595E-30  1.930898E-30
     10  1.150918682670E-12  2.096343E-29  1.380268E-29  3.022157E-30  1.058105E-30  1.143147E-30  1.728004E-30  1.126224E-30  1.978190E-30
     11  2.802808442389E-12  1.567187E-29  1.057109E-29  2.621012E-30  1.065894E-30  1.056802E-30  1.624502E-30  1.071715E-30  1.879609E-30
     12  6.912921996243E-12  9.061361E-30  6.495228E-30  2.080033E-30  1.046254E-30  1.015085E-30  1.575764E-30  1.031303E-30  1.839964E-30
     13  1.659368270033E-11  1.000000E-30  1.136529E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.472454E-30  1.000000E-30  1.651829E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
