 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cd132         cd133         cd134         in97          in98          in99          in100         in101
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000657E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.005074E-30  1.006019E-30  1.031456E-30
      3  6.264265632874E-16  1.000000E-30  1.004102E-30  1.000000E-30  1.000003E-30  1.000002E-30  1.013060E-30  1.015946E-30  1.086386E-30
      4  2.206990590178E-15  1.000000E-30  1.014326E-30  1.000000E-30  1.000038E-30  1.000038E-30  1.014144E-30  1.017836E-30  1.092467E-30
      5  6.425069294186E-15  1.000000E-30  1.040738E-30  1.000000E-30  1.000296E-30  1.000260E-30  1.013395E-30  1.017004E-30  1.092914E-30
      6  1.724777641531E-14  1.000000E-30  1.103061E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.033433E-30  1.031614E-30  1.074178E-30
      7  4.527785414179E-14  1.000000E-30  1.233339E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.111249E-30
      8  1.231582592127E-13  1.000000E-30  1.438816E-30  1.000000E-30  1.186149E-30  1.184154E-30  1.134699E-30  1.071944E-30  1.054855E-30
      9  4.001734798240E-13  1.000015E-30  1.579579E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.302985E-30  1.346439E-30  1.385392E-30
     10  1.150918682670E-12  1.000376E-30  1.586223E-30  1.000039E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  2.802808442389E-12  1.000000E-30  1.588256E-30  1.000554E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     12  6.912921996243E-12  1.021814E-30  1.557960E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     13  1.659368270033E-11  1.000000E-30  1.001185E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
