 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                pr136         pr137         pr138         pr139         pr140         pr141         pr142         pr143
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.019606E-30  1.021989E-30  1.006251E-30  1.008864E-30  1.000000E-30  1.000774E-30  1.002503E-30  1.007626E-30
      3  6.264265632874E-16  1.183929E-30  1.167811E-30  1.051069E-30  1.057104E-30  1.000000E-30  1.005345E-30  1.016438E-30  1.046714E-30
      4  2.206990590178E-15  2.409821E-30  2.168045E-30  1.395120E-30  1.246057E-30  1.000000E-30  1.024658E-30  1.064781E-30  1.154107E-30
      5  6.425069294186E-15  8.370621E-30  9.195426E-30  4.665591E-30  2.576197E-30  1.161306E-30  1.140740E-30  1.224111E-30  1.380820E-30
      6  1.724777641531E-14  2.365042E-29  3.579066E-29  2.256392E-29  1.329469E-29  4.147546E-30  2.429850E-30  1.897394E-30  1.779686E-30
      7  4.527785414179E-14  5.770014E-29  1.070863E-28  8.740551E-29  7.405835E-29  2.793460E-29  1.713913E-29  8.164578E-30  3.940130E-30
      8  1.231582592127E-13  1.452383E-28  2.960797E-28  2.762259E-28  2.830358E-28  1.223971E-28  9.435847E-29  4.238828E-29  1.627044E-29
      9  4.001734798240E-13  2.510081E-28  5.238262E-28  5.064627E-28  5.518025E-28  2.500162E-28  2.079318E-28  9.673506E-29  3.784576E-29
     10  1.150918682670E-12  2.046031E-28  4.276779E-28  4.146215E-28  4.550005E-28  2.079870E-28  1.749031E-28  8.224557E-29  3.242209E-29
     11  2.802808442389E-12  1.417106E-28  2.973223E-28  2.902968E-28  3.205683E-28  1.473187E-28  1.247171E-28  5.902384E-29  2.346823E-29
     12  6.912921996243E-12  8.018469E-29  1.692383E-28  1.664800E-28  1.859722E-28  8.663958E-29  7.455692E-29  3.622066E-29  1.506620E-29
     13  1.659368270033E-11  6.423443E-30  1.381100E-29  1.395599E-29  1.611498E-29  7.921752E-30  7.247751E-30  4.086207E-30  2.157955E-30
     14  1.134012897413E-10  1.202199E-30  2.612788E-30  2.688877E-30  3.191591E-30  1.621175E-30  1.540488E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.154666E-30  1.191610E-30  1.418242E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.055302E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.000000E-30  1.000000E-30  1.146431E-30  1.200939E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  7.490864585256E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  8.026631019591E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     33  8.451616658664E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     34  9.803471762980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     35  1.116687552369E-02  1.000000E-30  1.000000E-30  1.032210E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     36  1.219012310682E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     37  1.314647137106E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  1.431720408173E-02  1.000000E-30  1.000000E-30  1.012344E-30  1.017931E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  1.545287753035E-02  1.000000E-30  1.000000E-30  1.044009E-30  1.077116E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  1.716820108076E-02  1.000000E-30  1.238146E-30  1.648180E-30  1.753501E-30  1.099718E-30  1.000000E-30  1.000000E-30  1.000000E-30
     41  1.871872199221E-02  1.000000E-30  1.209546E-30  1.674840E-30  1.881468E-30  1.240688E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  1.039900E-30  1.986012E-30  3.478618E-30  3.390012E-30  2.095183E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  1.000000E-30  1.467336E-30  1.991714E-30  2.940843E-30  3.443814E-30  1.172677E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  1.000000E-30  1.303766E-30  3.055766E-30  5.209760E-30  4.480678E-30  1.552586E-30  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  1.000000E-30  1.711819E-30  3.519458E-30  6.982577E-30  1.443317E-29  7.135433E-30  1.532603E-30  1.000000E-30
     46  2.807329513827E-02  1.000000E-30  1.247855E-30  2.970416E-30  6.611383E-30  9.501302E-30  4.958749E-30  1.245446E-30  1.000000E-30
     47  2.946719119355E-02  1.000000E-30  1.274127E-30  2.626735E-30  5.938754E-30  1.204632E-29  9.034146E-30  2.541051E-30  1.000000E-30
     48  2.982466835475E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.070729E-30  3.147117E-30  1.835057E-30  1.000000E-30  1.000000E-30
     49  3.017238950627E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.091123E-30  3.157316E-30  1.898375E-30  1.000000E-30  1.000000E-30
     50  3.052509122072E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.205620E-30  3.667773E-30  2.355033E-30  1.000000E-30  1.000000E-30
     51  3.066477686677E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.486011E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  3.080037159611E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.480522E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.042351E-30  3.506755E-30  2.310036E-30  1.000000E-30  1.000000E-30
     54  3.147800645819E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.354830E-30  4.242057E-30  3.203309E-30  1.122034E-30  1.000000E-30
     55  3.181357346897E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.336693E-30  4.434024E-30  3.438774E-30  1.234073E-30  1.000000E-30
     56  3.217197145871E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.402775E-30  4.579537E-30  3.394897E-30  1.247822E-30  1.000000E-30
     57  3.249951277145E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.338543E-30  5.042320E-30  4.036781E-30  1.524733E-30  1.000000E-30
     58  3.262595809504E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.867807E-30  1.490201E-30  1.000000E-30  1.000000E-30
     59  3.272641576722E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.513609E-30  1.224975E-30  1.000000E-30  1.000000E-30
     60  3.304841700500E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.281916E-30  4.983565E-30  4.194734E-30  1.667729E-30  1.000000E-30
     61  3.362823507679E-02  1.000000E-30  1.000000E-30  1.030447E-30  4.250678E-30  9.803445E-30  8.680930E-30  3.648461E-30  1.000000E-30
     62  3.417743618412E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.912407E-30  9.511088E-30  9.386519E-30  4.531596E-30  1.000000E-30
     63  3.448472684867E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.191551E-30  5.967217E-30  6.341980E-30  3.022523E-30  1.000000E-30
     64  3.459225947862E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.059276E-30  2.072960E-30  1.000000E-30  1.000000E-30
     65  3.468161085917E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.730652E-30  1.765066E-30  1.000000E-30  1.000000E-30
     66  3.501586344154E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.386199E-30  6.525484E-30  7.018987E-30  3.309337E-30  1.000000E-30
     67  3.563385967804E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.416826E-30  1.286103E-29  1.481773E-29  7.784208E-30  1.331189E-30
     68  3.619390900501E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.893303E-30  1.213894E-29  1.485814E-29  7.884137E-30  1.408689E-30
     69  3.661379630041E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.906583E-30  9.875463E-30  1.308836E-29  7.409581E-30  1.384808E-30
     70  3.704099468238E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.838295E-30  1.010465E-29  1.447410E-29  8.545849E-30  1.653871E-30
     71  3.731378163516E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.765951E-30  6.430226E-30  9.338956E-30  5.724355E-30  1.150709E-30
     72  3.757630769329E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.688065E-30  6.260251E-30  8.968910E-30  5.589252E-30  1.151298E-30
     73  3.788075418501E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.937799E-30  7.297082E-30  1.109108E-29  6.834905E-30  1.433592E-30
     74  3.819794660071E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.961073E-30  7.675449E-30  1.213667E-29  7.681779E-30  1.655180E-30
     75  3.838080203158E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.062451E-30  4.557446E-30  7.670402E-30  5.252283E-30  1.169483E-30
     76  3.859219912978E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.227761E-30  5.280624E-30  8.790094E-30  5.926460E-30  1.337935E-30
     77  3.884096228080E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.415506E-30  6.133302E-30  1.064902E-29  7.242823E-30  1.664934E-30
     78  3.907668434759E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.293003E-30  5.882397E-30  1.044447E-29  7.300344E-30  1.717723E-30
     79  3.934936577490E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.472150E-30  6.749416E-30  1.262837E-29  9.087974E-30  2.246558E-30
     80  3.961640452516E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.386013E-30  6.647437E-30  1.279778E-29  9.410367E-30  2.418531E-30
     81  3.991996766101E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.529130E-30  7.499036E-30  1.516576E-29  1.161395E-29  2.858046E-30
     82  4.019473378510E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.311226E-30  6.806635E-30  1.418804E-29  1.105668E-29  2.803327E-30
     83  4.046928694587E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.214416E-30  6.720470E-30  1.509165E-29  1.222804E-29  3.246451E-30
     84  4.074955599116E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.194736E-30  7.026183E-30  1.579260E-29  1.320464E-29  3.630788E-30
     85  4.099011663524E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.773001E-30  1.385213E-29  1.200699E-29  3.460246E-30
     86  4.118445936105E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.647464E-30  1.141712E-29  1.005579E-29  2.988382E-30
     87  4.137235583218E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.446770E-30  1.126050E-29  1.013190E-29  3.061175E-30
     88  4.152714488067E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.668354E-30  9.447050E-30  8.570848E-30  2.615444E-30
     89  4.165981986900E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.145883E-30  8.235884E-30  7.553136E-30  2.301518E-30
     90  4.188596337322E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.327693E-30  1.407389E-29  1.298563E-29  4.062718E-30
     91  4.208159634323E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.464620E-30  1.257199E-29  1.221413E-29  3.883829E-30
     92  4.230932596557E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.173303E-30  1.453250E-29  1.407111E-29  4.572640E-30
     93  4.251598135750E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.576984E-30  1.352022E-29  1.355498E-29  4.568044E-30
     94  4.274368410830E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.000606E-30  1.497809E-29  1.513984E-29  5.132294E-30
     95  4.294191711445E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.290167E-30  1.343354E-29  1.395704E-29  4.892199E-30
     96  4.316569238790E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.743493E-30  1.586754E-29  1.717836E-29  6.112631E-30
     97  4.339365876136E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.730083E-30  1.566525E-29  1.692937E-29  6.227419E-30
     98  4.362382833621E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.678849E-30  1.598520E-29  1.762117E-29  6.722739E-30
     99  4.384703699487E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.447208E-30  1.578522E-29  1.780559E-29  6.959738E-30
    100  4.408801045744E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.681580E-30  1.707767E-29  1.961524E-29  7.953414E-30
    101  4.430336182063E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.074375E-30  1.557278E-29  1.842109E-29  7.589642E-30
    102  4.453208602613E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.246835E-30  1.662407E-29  1.997972E-29  8.495636E-30
    103  4.474836808964E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.950176E-30  1.621182E-29  2.011990E-29  8.257153E-30
    104  4.497736119052E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.053763E-30  1.735401E-29  2.204887E-29  9.303011E-30
    105  4.517199675598E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.295771E-30  1.461647E-29  1.895537E-29  8.594981E-30
    106  4.536038532241E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.142891E-30  1.417647E-29  1.861622E-29  8.616749E-30
    107  4.552484255766E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.687498E-30  1.239314E-29  1.683142E-29  7.717698E-30
    108  4.581275722245E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.548622E-30  2.191570E-29  3.007831E-29  1.460338E-29
    109  4.603616864208E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.375826E-30  1.710628E-29  2.448912E-29  1.151347E-29
    110  4.624194314299E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.000594E-30  1.593010E-29  2.337861E-29  1.137132E-29
    111  4.641297951594E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.466532E-30  1.304144E-29  1.934773E-29  9.621209E-30
    112  4.656990459822E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.203506E-30  1.200243E-29  1.812458E-29  9.190810E-30
    113  4.671253119976E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.973728E-30  1.090546E-29  1.667695E-29  8.647618E-30
    114  4.684580987606E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.800536E-30  1.016289E-29  1.574625E-29  8.311302E-30
    115  4.697520204195E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.714308E-30  9.887141E-30  1.552349E-29  8.304704E-30
    116  4.709649788536E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.584485E-30  9.297660E-30  1.475468E-29  8.037098E-30
    117  4.721637454993E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.532937E-30  9.178928E-30  1.475822E-29  8.125726E-30
    118  4.732862910872E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.406592E-30  8.627488E-30  1.398415E-29  7.824325E-30
    119  4.750539400184E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.142955E-30  1.339177E-29  2.219766E-29  1.256210E-29
    120  4.767210524850E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.961607E-30  1.299187E-29  2.140538E-29  1.254706E-29
    121  4.783406579930E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.852732E-30  1.261270E-29  2.111461E-29  1.258637E-29
    122  4.799263518131E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.765423E-30  1.233163E-29  2.096790E-29  1.270632E-29
