 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                gd149         gd150         gd151         gd152         gd153         gd154         gd155         gd156
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.015932E-30  1.000571E-30  1.005636E-30  1.004511E-30  1.004367E-30  1.000000E-30  1.002463E-30  1.000000E-30
      3  6.264265632874E-16  1.103380E-30  1.007872E-30  1.035338E-30  1.028614E-30  1.026731E-30  1.000000E-30  1.015035E-30  1.000000E-30
      4  2.206990590178E-15  1.494921E-30  1.096945E-30  1.127132E-30  1.104193E-30  1.088010E-30  1.000000E-30  1.049095E-30  1.000000E-30
      5  6.425069294186E-15  5.081431E-30  2.312254E-30  1.489456E-30  1.328689E-30  1.217043E-30  1.000000E-30  1.117907E-30  1.000000E-30
      6  1.724777641531E-14  3.054585E-29  1.183098E-29  5.260692E-30  2.188738E-30  1.455773E-30  1.000129E-30  1.207910E-30  1.000000E-30
      7  4.527785414179E-14  1.143369E-28  4.850638E-29  4.302219E-29  7.649654E-30  2.994412E-30  1.378928E-30  1.332084E-30  1.000002E-30
      8  1.231582592127E-13  3.217842E-28  1.624647E-28  2.383872E-28  4.247475E-29  1.394250E-29  3.626073E-30  2.105529E-30  1.000152E-30
      9  4.001734798240E-13  4.874193E-28  2.587849E-28  4.572089E-28  8.392457E-29  2.480631E-29  5.650806E-30  2.870332E-30  1.000010E-30
     10  1.150918682670E-12  4.058174E-28  2.170761E-28  3.927440E-28  7.294082E-29  2.140366E-29  4.951859E-30  2.654757E-30  1.003011E-30
     11  2.802808442389E-12  2.833715E-28  1.530240E-28  2.804715E-28  5.291490E-29  1.577751E-29  3.863793E-30  2.312458E-30  1.034598E-30
     12  6.912921996243E-12  1.644435E-28  8.982729E-29  1.688576E-28  3.290358E-29  9.960831E-30  2.642735E-30  1.802378E-30  1.000000E-30
     13  1.659368270033E-11  1.467191E-29  8.447211E-30  1.687635E-29  4.464788E-30  1.738989E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  2.733752E-30  1.632298E-30  3.462013E-30  1.006995E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.215919E-30  1.000000E-30  1.565552E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
