 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                tb155         tb156         tb157         tb158         tb159         tb160         tb161         tb162
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.006223E-30  1.000000E-30  1.002957E-30  1.000350E-30  1.005798E-30  1.000000E-30  1.000000E-30
      3  6.264265632874E-16  1.000000E-30  1.038249E-30  1.000000E-30  1.018273E-30  1.003090E-30  1.035438E-30  1.000000E-30  1.000000E-30
      4  2.206990590178E-15  1.000000E-30  1.127402E-30  1.000000E-30  1.062393E-30  1.019162E-30  1.116124E-30  1.000000E-30  1.000000E-30
      5  6.425069294186E-15  1.000000E-30  1.321766E-30  1.000000E-30  1.176060E-30  1.099628E-30  1.281225E-30  1.000000E-30  1.000000E-30
      6  1.724777641531E-14  1.115409E-30  1.658980E-30  1.000000E-30  1.493563E-30  1.361991E-30  1.499495E-30  1.000000E-30  1.000000E-30
      7  4.527785414179E-14  3.601949E-30  3.151004E-30  1.494555E-30  2.264895E-30  1.726832E-30  1.619204E-30  1.000000E-30  1.000000E-30
      8  1.231582592127E-13  1.621620E-29  1.440837E-29  4.494964E-30  3.817715E-30  2.255769E-30  1.654510E-30  1.000012E-30  1.000003E-30
      9  4.001734798240E-13  2.695219E-29  2.551800E-29  7.069821E-30  5.365421E-30  2.763599E-30  1.680855E-30  1.000000E-30  1.000226E-30
     10  1.150918682670E-12  2.299495E-29  2.229646E-29  6.257020E-30  5.013990E-30  2.631104E-30  1.642851E-30  1.000000E-30  1.000000E-30
     11  2.802808442389E-12  1.688517E-29  1.689940E-29  5.007863E-30  4.493773E-30  2.484835E-30  1.750903E-30  1.070380E-30  1.006259E-30
     12  6.912921996243E-12  1.064691E-29  1.127287E-29  3.627229E-30  3.726111E-30  2.208737E-30  1.748607E-30  1.082085E-30  1.000000E-30
     13  1.659368270033E-11  1.648002E-30  2.185321E-30  1.000000E-30  1.268713E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
