 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                dy177         dy178         dy179         dy180         dy181         dy182         dy183         dy184
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000156E-30  1.000000E-30  1.000140E-30  1.000000E-30  1.000049E-30  1.000000E-30  1.000049E-30  1.000000E-30
      3  6.264265632874E-16  1.000978E-30  1.000000E-30  1.000878E-30  1.000000E-30  1.000306E-30  1.000000E-30  1.000309E-30  1.000000E-30
      4  2.206990590178E-15  1.003438E-30  1.000000E-30  1.003090E-30  1.000000E-30  1.001077E-30  1.000000E-30  1.001089E-30  1.000000E-30
      5  6.425069294186E-15  1.009953E-30  1.000000E-30  1.008958E-30  1.000000E-30  1.003125E-30  1.000000E-30  1.003163E-30  1.000000E-30
      6  1.724777641531E-14  1.026340E-30  1.000000E-30  1.023800E-30  1.000000E-30  1.008313E-30  1.000000E-30  1.008440E-30  1.000000E-30
      7  4.527785414179E-14  1.066664E-30  1.000000E-30  1.060833E-30  1.000000E-30  1.021321E-30  1.000000E-30  1.021811E-30  1.000000E-30
      8  1.231582592127E-13  1.164208E-30  1.000000E-30  1.153839E-30  1.000000E-30  1.054415E-30  1.000000E-30  1.056814E-30  1.000000E-30
      9  4.001734798240E-13  1.385687E-30  1.000000E-30  1.391573E-30  1.000001E-30  1.142583E-30  1.000000E-30  1.159088E-30  1.000000E-30
     10  1.150918682670E-12  1.562477E-30  1.000000E-30  1.649693E-30  1.000010E-30  1.249440E-30  1.000004E-30  1.329119E-30  1.052894E-30
     11  2.802808442389E-12  1.590215E-30  1.000000E-30  1.726094E-30  1.000003E-30  1.289220E-30  1.000000E-30  1.677343E-30  1.340951E-30
     12  6.912921996243E-12  1.590593E-30  1.000000E-30  1.729594E-30  1.000044E-30  1.555502E-30  1.220422E-30  2.394185E-30  1.752585E-30
     13  1.659368270033E-11  1.659590E-30  1.052702E-30  1.786708E-30  1.052744E-30  1.621499E-30  1.271219E-30  2.525304E-30  1.874928E-30
     14  1.134012897413E-10  1.257575E-30  1.000000E-30  1.458868E-30  1.000000E-30  1.498192E-30  1.178441E-30  2.178112E-30  1.544411E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.173837E-30  1.000000E-30  1.208387E-30  1.000000E-30  1.585164E-30  1.101194E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
