 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ta180         ta181         ta182         ta183         ta184         ta185         ta186         ta187
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.001067E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000586E-30  1.000000E-30  1.003680E-30  1.000000E-30
      3  6.264265632874E-16  1.006527E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003642E-30  1.000000E-30  1.022877E-30  1.000000E-30
      4  2.206990590178E-15  1.021439E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.012536E-30  1.000000E-30  1.078802E-30  1.000000E-30
      5  6.425069294186E-15  1.052217E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.034332E-30  1.000000E-30  1.216185E-30  1.000000E-30
      6  1.724777641531E-14  1.093919E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.080299E-30  1.011955E-30  1.501114E-30  1.000000E-30
      7  4.527785414179E-14  1.123752E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.229980E-30  1.207795E-30  1.933201E-30  1.000000E-30
      8  1.231582592127E-13  1.159615E-30  1.000000E-30  1.000000E-30  1.270786E-30  1.745924E-30  1.584152E-30  2.246492E-30  1.000000E-30
      9  4.001734798240E-13  1.196623E-30  1.000000E-30  1.002405E-30  1.552437E-30  1.977211E-30  1.664291E-30  2.285852E-30  1.000093E-30
     10  1.150918682670E-12  1.201926E-30  1.010009E-30  1.007829E-30  1.543981E-30  1.967999E-30  1.659762E-30  2.279898E-30  1.000000E-30
     11  2.802808442389E-12  1.172077E-30  1.000000E-30  1.000000E-30  1.533895E-30  1.969537E-30  1.648240E-30  2.264133E-30  1.000000E-30
     12  6.912921996243E-12  1.102081E-30  1.000000E-30  1.002915E-30  1.666027E-30  2.132083E-30  1.759504E-30  2.469987E-30  1.086740E-30
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.166892E-30  1.000000E-30  1.201694E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
