 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                bi227         bi228         bi229         bi230         bi231         bi232         bi233         bi234
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000024E-30  1.000000E-30  1.000020E-30  1.000000E-30  1.000021E-30  1.000000E-30  1.000017E-30
      3  6.264265632874E-16  1.000000E-30  1.000151E-30  1.000000E-30  1.000127E-30  1.000000E-30  1.000131E-30  1.000000E-30  1.000109E-30
      4  2.206990590178E-15  1.000000E-30  1.000532E-30  1.000000E-30  1.000448E-30  1.000000E-30  1.000460E-30  1.000000E-30  1.000382E-30
      5  6.425069294186E-15  1.000000E-30  1.001545E-30  1.000000E-30  1.001301E-30  1.000000E-30  1.001335E-30  1.000000E-30  1.001110E-30
      6  1.724777641531E-14  1.000000E-30  1.004123E-30  1.000000E-30  1.003473E-30  1.000000E-30  1.003564E-30  1.000000E-30  1.002965E-30
      7  4.527785414179E-14  1.000000E-30  1.010654E-30  1.000000E-30  1.008976E-30  1.000000E-30  1.009224E-30  1.000000E-30  1.007679E-30
      8  1.231582592127E-13  1.000000E-30  1.027742E-30  1.000000E-30  1.023388E-30  1.000000E-30  1.024112E-30  1.000000E-30  1.020112E-30
      9  4.001734798240E-13  1.000000E-30  1.077661E-30  1.000000E-30  1.065719E-30  1.000000E-30  1.068430E-30  1.000482E-30  1.057482E-30
     10  1.150918682670E-12  1.000000E-30  1.163945E-30  1.007204E-30  1.141149E-30  1.004091E-30  1.148908E-30  1.031223E-30  1.127138E-30
     11  2.802808442389E-12  1.032681E-30  1.306279E-30  1.101418E-30  1.259385E-30  1.097242E-30  1.261272E-30  1.150576E-30  1.219114E-30
     12  6.912921996243E-12  1.224902E-30  1.637605E-30  1.402555E-30  1.429402E-30  1.268549E-30  1.372517E-30  1.273097E-30  1.294640E-30
     13  1.659368270033E-11  1.403713E-30  1.869555E-30  1.535795E-30  1.540340E-30  1.351349E-30  1.362644E-30  1.284837E-30  1.287479E-30
     14  1.134012897413E-10  2.210250E-30  2.580741E-30  2.013720E-30  1.974786E-30  1.609243E-30  1.602838E-30  1.487229E-30  1.540360E-30
     15  1.081477360150E-09  3.981490E-30  5.145241E-30  3.364080E-30  3.100129E-30  2.229726E-30  1.855020E-30  1.616420E-30  1.484309E-30
     16  1.076223806424E-08  1.390730E-30  2.051334E-30  1.339740E-30  1.594845E-30  1.037319E-30  1.262277E-30  1.000000E-30  1.015627E-30
     17  6.834096797002E-08  1.000000E-30  1.483821E-30  1.015132E-30  1.304058E-30  1.000000E-30  1.290258E-30  1.000000E-30  1.309187E-30
     18  2.542122411654E-07  1.000000E-30  1.383813E-30  1.000000E-30  1.266288E-30  1.000000E-30  1.338558E-30  1.000000E-30  1.444767E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  7.490864585256E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  8.026631019591E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     33  8.451616658664E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     34  9.803471762980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     35  1.116687552369E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     36  1.219012310682E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     37  1.314647137106E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  1.431720408173E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  1.545287753035E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  1.716820108076E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     41  1.871872199221E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
