 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                po216         po217         po218         po219         po220         po221         po222         po223
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000001E-30  1.000019E-30  1.000041E-30  1.000050E-30  1.000053E-30  1.000060E-30  1.000062E-30
      3  6.264265632874E-16  1.000000E-30  1.000006E-30  1.000122E-30  1.000255E-30  1.000311E-30  1.000331E-30  1.000376E-30  1.000387E-30
      4  2.206990590178E-15  1.000000E-30  1.000023E-30  1.000430E-30  1.000900E-30  1.001097E-30  1.001167E-30  1.001325E-30  1.001365E-30
      5  6.425069294186E-15  1.000000E-30  1.000066E-30  1.001256E-30  1.002619E-30  1.003198E-30  1.003396E-30  1.003863E-30  1.003974E-30
      6  1.724777641531E-14  1.000000E-30  1.000179E-30  1.003404E-30  1.007025E-30  1.008607E-30  1.009114E-30  1.010397E-30  1.010667E-30
      7  4.527785414179E-14  1.000000E-30  1.000467E-30  1.009128E-30  1.018398E-30  1.022730E-30  1.023897E-30  1.027477E-30  1.027985E-30
      8  1.231582592127E-13  1.000000E-30  1.001246E-30  1.026082E-30  1.049699E-30  1.062750E-30  1.064776E-30  1.076039E-30  1.075986E-30
      9  4.001734798240E-13  1.000000E-30  1.003761E-30  1.093599E-30  1.157581E-30  1.211909E-30  1.207875E-30  1.259706E-30  1.245333E-30
     10  1.150918682670E-12  1.000000E-30  1.008917E-30  1.278563E-30  1.424534E-30  1.635378E-30  1.578189E-30  1.809379E-30  1.693554E-30
     11  2.802808442389E-12  1.000002E-30  1.015008E-30  1.578405E-30  1.900052E-30  2.532187E-30  2.332151E-30  3.206238E-30  2.636348E-30
     12  6.912921996243E-12  1.000052E-30  1.018407E-30  2.093734E-30  2.919808E-30  5.527592E-30  5.240082E-30  8.580638E-30  5.191171E-30
     13  1.659368270033E-11  1.168587E-30  1.306046E-30  3.514064E-30  5.694133E-30  1.361690E-29  1.250691E-29  2.262124E-29  1.185108E-29
     14  1.134012897413E-10  1.734022E-30  2.002472E-30  5.615692E-30  1.017055E-29  2.913432E-29  2.715964E-29  7.854646E-29  4.405336E-29
     15  1.081477360150E-09  2.007860E-30  2.325401E-30  6.954530E-30  1.290709E-29  3.899209E-29  3.787022E-29  1.369346E-28  8.511574E-29
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.638773E-30  2.990687E-30  9.240433E-30  9.184651E-30  3.442759E-29  2.290807E-29
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.036373E-30  1.936053E-30  5.695632E-30  5.812976E-30  2.205255E-29  1.521022E-29
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.733981E-30  5.111884E-30  5.223299E-30  2.023702E-29  1.404265E-29
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.252098E-30  2.291530E-30  9.113516E-30  6.213359E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.018584E-30  1.033551E-30  4.107264E-30  2.781524E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.670655E-30  1.116396E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
