 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                po232         po233         po234         po235         po236         po237         at211         neut 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  8.761664E-01
      2  1.000000000000E-16  1.000079E-30  1.000080E-30  1.000081E-30  1.000084E-30  1.000084E-30  1.000085E-30  1.000000E-30  8.761694E-01
      3  6.264265632874E-16  1.000494E-30  1.000503E-30  1.000506E-30  1.000528E-30  1.000524E-30  1.000531E-30  1.000000E-30  8.761834E-01
      4  2.206990590178E-15  1.001741E-30  1.001771E-30  1.001784E-30  1.001860E-30  1.001848E-30  1.001872E-30  1.000000E-30  8.762089E-01
      5  6.425069294186E-15  1.005071E-30  1.005158E-30  1.005196E-30  1.005415E-30  1.005387E-30  1.005451E-30  1.000000E-30  8.762279E-01
      6  1.724777641531E-14  1.013629E-30  1.013848E-30  1.013964E-30  1.014538E-30  1.014501E-30  1.014635E-30  1.000000E-30  8.762307E-01
      7  4.527785414179E-14  1.035881E-30  1.036355E-30  1.036745E-30  1.038167E-30  1.038318E-30  1.038421E-30  1.000000E-30  8.762310E-01
      8  1.231582592127E-13  1.098341E-30  1.098884E-30  1.100585E-30  1.103814E-30  1.106055E-30  1.104509E-30  1.000000E-30  8.762316E-01
      9  4.001734798240E-13  1.327139E-30  1.321243E-30  1.333379E-30  1.337354E-30  1.363614E-30  1.339577E-30  1.000000E-30  8.762324E-01
     10  1.150918682670E-12  1.985111E-30  1.930874E-30  1.997701E-30  1.980218E-30  2.158469E-30  1.976607E-30  1.000000E-30  8.762327E-01
     11  2.802808442389E-12  3.557557E-30  3.374028E-30  3.568791E-30  3.495091E-30  4.193169E-30  3.413690E-30  1.000000E-30  8.762330E-01
     12  6.912921996243E-12  7.854834E-30  7.410298E-30  7.773623E-30  7.636820E-30  1.005814E-29  7.736767E-30  1.000000E-30  8.762337E-01
