 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                prot          he4  
      1  0.000000000000E+00  9.127269E-02  8.096511E-03
      2  1.000000000000E-16  9.127578E-02  8.096511E-03
      3  6.264265632874E-16  9.128976E-02  8.096511E-03
      4  2.206990590178E-15  9.131528E-02  8.096511E-03
      5  6.425069294186E-15  9.133418E-02  8.096511E-03
      6  1.724777641531E-14  9.133693E-02  8.096511E-03
      7  4.527785414179E-14  9.133711E-02  8.096509E-03
      8  1.231582592127E-13  9.133745E-02  8.096505E-03
      9  4.001734798240E-13  9.133791E-02  8.096484E-03
     10  1.150918682670E-12  9.133811E-02  8.096423E-03
     11  2.802808442389E-12  9.133838E-02  8.096288E-03
     12  6.912921996243E-12  9.133906E-02  8.095951E-03
     13  1.659368270033E-11  9.134064E-02  8.095159E-03
     14  1.134012897413E-10  9.135647E-02  8.087240E-03
     15  1.081477360150E-09  9.151383E-02  8.008539E-03
     16  1.076223806424E-08  9.299418E-02  7.268174E-03
     17  6.834096797002E-08  9.906040E-02  4.234280E-03
     18  2.542122411654E-07  1.046564E-01  1.435558E-03
     19  7.007518887657E-07  1.053620E-01  1.082733E-03
     20  1.724661805125E-06  1.053655E-01  1.081185E-03
     21  4.267664185819E-06  1.053649E-01  1.081936E-03
     22  1.786211798807E-05  1.053615E-01  1.085959E-03
     23  6.929007850093E-05  1.053486E-01  1.101323E-03
     24  5.835696836295E-04  1.051905E-01  1.268011E-03
     25  1.496090518789E-03  1.047675E-01  1.630142E-03
     26  2.379765156362E-03  1.041519E-01  2.078044E-03
     27  3.772948503579E-03  1.026692E-01  3.029179E-03
     28  4.957278025650E-03  1.007670E-01  4.148467E-03
     29  5.758110286319E-03  9.908406E-02  5.098607E-03
     30  6.636115041812E-03  9.678694E-02  6.361808E-03
     31  7.490864585256E-03  9.407909E-02  7.822953E-03
     32  8.026631019591E-03  9.211741E-02  8.868852E-03
     33  8.451616658664E-03  9.041093E-02  9.772551E-03
     34  9.803471762980E-03  8.414506E-02  1.305940E-02
     35  1.116687552369E-02  7.657400E-02  1.699037E-02
     36  1.219012310682E-02  7.021777E-02  2.027148E-02
     37  1.314647137106E-02  6.391662E-02  2.351371E-02
     38  1.431720408173E-02  5.592113E-02  2.761787E-02
     39  1.545287753035E-02  4.817278E-02  3.158945E-02
     40  1.716820108076E-02  3.694930E-02  3.733811E-02
     41  1.871872199221E-02  2.782436E-02  4.201454E-02
