
run:      1; obh2 = 2.207E-02
    Temp          D/H         T/H        3He/H       4He/H
------------------------------------------------------------
   3.000E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.897E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.770E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.648E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.532E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.420E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.314E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.212E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.115E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.022E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.933E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.848E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.766E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.689E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.614E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.543E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.476E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.411E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.349E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.289E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.233E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.178E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.126E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.077E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.030E+01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.843E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.410E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.996E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.600E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.222E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.860E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.514E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.184E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.868E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.566E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.277E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.001E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.737E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.484E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.243E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.012E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.792E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.581E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.380E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.187E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.003E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.827E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.658E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.497E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.344E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.197E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.056E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.921E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.793E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.670E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.553E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.440E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.333E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.230E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.132E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.038E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.949E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.863E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.781E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.703E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.628E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.556E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.488E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.422E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.360E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.300E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.243E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.188E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.136E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.086E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.038E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.924E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.488E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.071E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.671E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.298E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.968E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.676E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.414E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.177E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.963E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.767E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.587E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.421E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.267E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.125E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.992E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.867E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.748E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.624E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.490E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.339E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.161E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.953E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.735E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.527E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.328E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.141E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.972E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.820E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.682E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.556E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.440E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.333E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.234E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.142E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.056E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.976E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.901E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.831E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.765E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.702E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.643E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.587E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.534E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.484E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.436E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.391E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.347E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.306E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.266E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.228E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.191E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.155E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.120E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
